"sewershed","lat","lng"
"Chico_WPCP",39.7544262716702,-121.823058162233
"OrovilleSC",39.503359148997,-121.548164987525
"UnionSD_Alvrdo_Fremont",37.5121532812626,-121.936154290908
"SouthSD_WWTP",32.5729013276847,-117.00208609146
"CCWRP_CaleraCreek",37.6116287243069,-122.478246360744
"SCCSD_County",36.9797958716049,-121.945784211435
"FSSD_Fairfield",38.257776106173,-122.030133978963
"LosBanos_WWTP",37.0662223938763,-120.838581546258
"Winters_WTF",38.5307875742531,-121.974417149793
"Turlock_RWQCF",37.5085830165114,-120.857888102621
"EspartoCSD_WWTP",38.6932892491155,-122.017153921995
"VSD_Indio",33.7229844252069,-116.226006960071
"SCCSD_combined",36.9793527415948,-121.98783473524
"Oxnard_WWTP",34.1822633197212,-119.171049833322
"SantaRosa_Laguna",38.4285665147463,-122.704279314572
"SFPUC_SE_Ingalls",37.7206220841036,-122.393952462898
"SFPUC_SE_RR",37.7164711817437,-122.408328249935
"SFPUC_SE_Alabama",37.751660397491,-122.415080429771
"SFPUC_SE_PP",37.7209696937948,-122.42789022398
"SFPUC_SE_Jackson",37.7966631013462,-122.409143687148
"SFPUC_Ocean",37.7514637207434,-122.478596212285
"SFPUC_SE",37.7524936783623,-122.419154390401
"LACSD_Jnt",33.9841519781,-118.077877763004
"LASAN_Hyp",34.1438384041783,-118.41280218479
"OCSD_P1",33.7704293142505,-117.857738582745
"SDPU_PtLom",32.7803882986111,-117.076688435238
"SFPUC_SE_SELS",37.7300920665102,-122.41603902221
"SFPUC_SE_NSPS",37.799710100272,-122.429182798603
"SFPUC_SE_NHF",37.7222782246318,-122.397143808175
"SFPUC_SE_CHS",37.7795606845179,-122.422893777421
"CALEXICO_CTY",32.6852368431636,-115.497896659339
"FRSN_CLVS_RWRF",36.7725833609784,-119.803274954336
"SBMWD_WWRF",34.1308162841664,-117.272801919845
"LakeCty_SE",38.9451463145994,-122.626349274372
"EBMUD",37.8090659487541,-122.236742387506
"EBMUD_North",37.8863368738776,-122.293036744605
"EBMUD_Adeline",37.8599793978574,-122.239442751282
"EBMUD_South",37.7799033839304,-122.221952863632
"CMSA_WRPS",37.9632907120733,-122.500536261108
"CMSA_SD2",37.9231339306465,-122.507968103264
"CMSA_RVSD",37.9769725451504,-122.575219912975
"CMSA_SRSD",37.9803247781578,-122.503806453773
"Amer_Canyon_Napa",38.1827598149554,-122.258005601494
"CMSA_Inf",37.9721466479616,-122.542492044217
"Vacaville_East",38.3589401594312,-121.967546854756
"Marin_SDistirct5",37.8776086141846,-122.466163623055
"Sausalito_MarinCity_Inf",37.8638753230224,-122.499303507064
"Yntville_WRF",38.4034429347638,-122.359564709807
"WCWD",37.9727193199094,-122.319926364815
"UnionSD_Alvrdo",37.541153801671,-121.99226738338
"NovatoSD",38.0956078541756,-122.564942435473
"CCCSD_Concord",37.9637608739968,-121.990990615454
"DelDiablo",37.9973142540806,-121.846575511655
"LGVSD_Inf",38.0187899819214,-122.5418676186
"CODIGA_PA_RES",37.4166635105112,-122.166272145141
"CODIGA_All",37.4218779798746,-122.163979687759
"PA_all",37.3953518758295,-122.122863062418
"SantaClara_GilMrg",37.0537226984011,-121.604131336209
"SantaClara_SJ",37.3087349118912,-121.888950009787
"SantaClara_Sun",37.3792893800426,-122.025548962949
"SanMateo_EPA",37.4649458309091,-122.134024563711
"SVCW_WWTP",37.4630257657345,-122.228379809964
"Davis",38.5556438918098,-121.735596829568
"SRCSD",38.5795927087328,-121.374706273287
"Modesto_Cty",37.6549781239159,-120.983077271442
"LACSD_Lancaster",34.6884464348178,-118.14411926522
"LVMWD_Tapia",34.1404283966211,-118.743079277591
"SLO_WRRF",35.2712557873022,-120.668266980442
"Watsonville_WWTP",36.9201409639414,-121.763958126293
"SanLeandro_SD",37.7153825085553,-122.16493675488
"Eureka_ElkRiver",40.7718115237825,-124.165230046531
"Merced_Cty",37.3052271235707,-120.477821345051
"SAMC_HMB",37.5149769881798,-122.475737751932
"City_Lakeport",39.0391793772808,-122.921682579961
"BKERSFLD_P2",35.367269462804,-118.941495524314
"BKERSFLD_P3",35.3298281653224,-119.114762201099
"Woodland_WPCP",38.6713735576297,-121.752000870548
"Cty_SanMateo",37.5508579485992,-122.310451911351
"Vallejo_FWD",38.1159288187742,-122.229646725402
"IEUA_RP1_Ontario",34.0584882565398,-117.596186330868
"PasoRobles_WWTP",35.6383577012115,-120.656372001954
"Hollister_DWRF",36.8535741348656,-121.399112711013
"ElCentro_WWTP",32.7860449280271,-115.559571350362
"SanQuentin",37.9411984474218,-122.491229539031
"NapaSan_SWRF",38.292352896359,-122.290335607013
"EllisCreek_Petaluma",38.2420181699063,-122.626021741536
"AmerValley_Quincy",39.9391778776439,-120.927003057055
"CCCSD_WWTP",37.8905324640352,-122.036146762716
"SCCSD_City",36.9788694305168,-122.033697697827
"CCWTP_CrescentCity",41.7665421805541,-124.192161859185
"UVSD_Ukiah",39.14955677918,-123.206171963507
"LakeCty_NW",39.1060906382506,-122.854312128497
"LOWRF_LosOsos",35.3186135735565,-120.83659083285
"EDID_ElDorado",38.6790681976432,-120.958849158493
"UnionSD_Alvrdo_Newark",37.5469610098752,-122.015332939198
"UnionSD_Alvrdo_Union",37.5831274455775,-122.04225637469
"MammothCWD",37.6331747167243,-118.983582477841
"STPUD_Southtahoe",38.9060703879387,-120.008696879487
"City_Redlands",34.0587404098594,-117.178571357718
"White_Slough_Lodi",38.1264711822109,-121.281827645245
"Manteca_WQCF",37.7928374062943,-121.22636025085
"Stockton_RWWCF",37.9763924853663,-121.309726983567
"MountainHouse_WWTP",37.7816928911794,-121.542343876343
"Tracy_WWTP",37.726506808767,-121.452168042255
"CCSD_Cambria",35.5622179499046,-121.093381403953
"CAWD_Carmel",36.5066168098147,-121.939290914246
"Atascadero_WRF",35.4831513914907,-120.686131611121
"SSLOCSD_Oceano",35.1192800451462,-120.597538111857
"NCSD_Nipomo",35.0436247890537,-120.508358186221
"SantaBarbara_Cty",34.4311012739631,-119.710258223631
"Redding_Clearcreek",40.5341545938665,-122.408204301495
"Redding_Stillwater",40.593416801484,-122.323447052418
"Camarillo_SD",34.2474890771605,-119.070431735438
"PlacerNW_PG_WWTP",38.782980400993,-121.347514567985
"PlacerSE_DC_WWTP",38.7433321124058,-121.264689638909
"Goleta_SD",34.442292686386,-119.801631094444
"Tahoe_Truckee_SA",39.2310126723255,-120.169677815723
"Riverside_WQCP",33.9378795868039,-117.395370798543
"Grass_Valley",39.2248530418676,-121.053320621195
"SMWTP_MillValley",37.9086232722884,-122.542233248248
"City_Yuba",39.1323455953412,-121.639829798055
"HWWTF_Hanford",36.3298439531174,-119.653811836273
"Windsor_WTRDF",38.5308171189447,-122.795317231544
